"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"98",2020-04-02,"Spain",7719,102135,6110080.62632145,1670156.82262254,12896073.0938218,417848.773345467,15870.8662606419,1319171.15397045,169693.993800136,538320.398938683,864,9053,8867.94838302879,6967.15811849628,10791.4913449302,1029.65864023111,749.68007285913,1297.0257382658,925.612225559184,1127.24843487909,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"99",2020-04-03,"Spain",8102,110237,6558615.35524882,1684462.09879626,14376440.9521426,448534.728927373,14305.2761737239,1480367.85832076,170364.960246631,570545.501883298,950,10003,9973.3216048903,7745.02554882084,12243.5628481835,1105.37322186151,777.86743032456,1452.0715032533,979.218365413644,1233.9428120901,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"100",2020-04-04,"Spain",7472,117709,7040754.44052788,1697357.04058897,16037706.3199589,482139.085279059,12894.9417927072,1661265.36781634,171317.670671839,604703.169046206,932,10935,11156.2334694579,8531.37452487571,13874.8532778174,1182.91186456762,786.348976054872,1631.29042963386,1033.54311526274,1329.90804485514,1.28950844388978,0.435254706488606,2.03734240283239,1.07646948356902,1.5227260766526
"101",2020-02-18,"Sweden",0,0,30.3041942773449,4.07603549773795,94.6446425828702,30.3041942773449,4.07603549773795,94.6446425828702,14.2352424389265,38.7691527590697,0,0,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,1e-09,4.17263051208074,2.96675431746586,6.0715555426809,3.60791031275797,4.57109399436137
"102",2020-02-19,"Sweden",0,0,60.6083885546897,8.1520709954759,189.28928516574,30.3041942773449,4.07603549773795,94.6446425828702,14.2352424389265,38.7691527590697,0,0,4.84073100136299e-07,6.59752666623411e-08,1.50971131848502e-06,4.83073100136299e-07,6.49752666623411e-08,1.50871131848502e-06,2.26921152670439e-07,6.18011310301779e-07,4.17263051208074,2.96675431746586,6.0715555426809,3.60791031275797,4.57109399436137
"103",2020-02-20,"Sweden",0,0,90.9125828320346,12.2281064932138,283.933927748611,30.3041942773449,4.07603549773795,94.6446425828702,14.2352424389265,38.7691527590697,0,0,9.60878721382194e-06,1.29328585917323e-06,3.00075917787576e-05,9.12471411368565e-06,1.22731059251089e-06,2.84978804602725e-05,4.28628843933051e-06,1.16735469723669e-05,4.17263051208074,2.96675431746586,6.0715555426809,3.60791031275797,4.57109399436137
"104",2020-02-21,"Sweden",0,0,121.216777109379,16.3041419909518,378.578570331481,30.3041942773449,4.07603549773795,94.6446425828702,14.2352424389265,38.7691527590697,0,0,6.72018357078496e-05,9.039781540139e-06,0.00020987950786036,5.75930484940276e-05,7.74649568096577e-06,0.000179871916081603,2.70540440905979e-05,7.36806817726454e-05,4.17263051208074,2.96675431746586,6.0715555426809,3.60791031275797,4.57109399436137
"105",2020-02-22,"Sweden",0,0,151.520971386724,20.3801774886897,473.223212914351,30.3041942773449,4.07603549773795,94.6446425828702,14.2352424389265,38.7691527590697,0,0,0.000291777152482325,3.9246061064054e-05,0.00091126263636495,0.000224575316774475,3.0206279523915e-05,0.00070138312850459,0.000105493122530346,0.00028730659136696,4.17263051208074,2.96675431746586,6.0715555426809,3.60791031275797,4.57109399436137
"106",2020-02-23,"Sweden",0,0,181.825165664069,24.4562129864277,567.867855497221,30.3041942773449,4.07603549773795,94.6446425828702,14.2352424389265,38.7691527590697,0,0,0.000931419611851688,0.000125280533599067,0.00290896405663005,0.000639642459369364,8.60344725350132e-05,0.0019977014202651,0.000300468819597069,0.000818315642762922,4.17263051208074,2.96675431746586,6.0715555426809,3.60791031275797,4.57109399436137
"107",2020-02-24,"Sweden",0,0,241.087505617903,37.6221375452395,723.124037007158,59.2623399538334,13.1659245588118,155.256181509936,34.1475193991671,78.2905293306564,0,0,0.00240366539670042,0.000323303487963662,0.00750701325159956,0.00147224578484873,0.000198022954364595,0.0045980491949695,0.000691580032955274,0.00188349247002972,4.17263051208074,2.96675431746586,6.0715555426809,3.60791031275797,4.57109399436137
